align_results_201904222126.csvid,nama
801,ALUE BULOH
802,ALUE TEH
803,PAYA RAMBONG
804,ALUE GADENG SA
805,PAYA TAMPAH
806,PAYA BILI DUA
807,PAYA BILI SA
808,PAYA PEULAWI
809,KEUDE BIREM
810,BAYEUN
811,ARAMIYAH
812,BLANG TUALANG
813,BUKET SEULEUMAK
814,BIREM RAYEUK
815,ALUE GADENG GP
816,ALUE GADENG II
817,ALUE SENTANG
818,MERBOU DUA
819,ALUE NYAMUK
821,LOKOP
822,TERUJAK
823,TUALANG
824,LELES
825,UJUNG KARANG
826,NALON
827,JERING
828,LOOT
829,SEKUALAN
830,SUNTI
831,UMAH TARING
832,BUNIN
833,SEMBUANG
834,SEULEUMAK
835,MESIR
836,RAMPAH
837,ARUL DURIN
839,KEUDE BAGOK
840,GAMPONG KEUDE BAGOK
841,ASAN TANJONG
842,BANTAYAN
843,MATANG SEULEUMAK
844,TEUPIN PUKAT
845,MATANG NEUHEUN
846,KUALA BAGOK
847,MEUNASAH TEUNGOH
848,MEUDANG ARA
849,PEULAWI
850,BAROH BUGENG
851,SEUMATANG ARON
852,BLANG PANJOU
853,PULO U
854,COT ASAN
855,PAYA ENJEE
856,SEULEUMAK MUDA
857,MATANG PANYANG
858,MEUNASAH HAGU
859,MATANG KUNYET
860,BUKET PANJOU
861,BUKET MEURAK
862,BUKET PANYANG
863,SEUNEUBOK DALAM
864,GAMPONG MESJID
865,ALUE SIWAH SERDANG
866,GAMPONG LHEE
867,BEURANDANG
868,GAMPONG JALAN
869,SEUNEUBOK RAMBONG
871,PASIR PUTIH
872,TUALANG
873,KEUDE PEUREULAK
874,LEUGE
875,UTEUN DAMA
876,PUNTI
877,ALUE DUA PAYA GAJAH
878,BLANG BITRA
879,KUALA BUGAK
880,PAYA LIPAH
881,SEUMATANG MUDA ITAM
882,LHOK DALAM
883,BEUSA MEURANOE
884,BANGKA RIMUNG
885,TANOH RATA
886,BANDRONG
887,BLANG BALOK
888,COT MUDA ITAM
889,KEUMUNENG
890,KUALA LEUGE
891,BALEE BUYA
892,ALUE NIBONG
893,SEUNEUBOK PEUSANGAN
894,SEUNEUBOK ACEH
895,SEUNEUBOK PIDIE
896,DAMA TUTONG
897,MATANG GLEUM
898,LUBOK PEMPENG
899,BUKET PALA
900,PAYA KALUI
901,CEK MBON
902,PAYA MEULIGOU
903,BLANG SIMPO
904,BLANG BATEE
905,MATANG PELAWI
906,COT GEULUMPANG
907,ALUE RAMBONG
908,COT KEH
910,BAYEUN
911,RANTAU PANJANG
912,ALUE RAYA
913,ALUE KUMBA
914,SEUNEUBOK DALAM
915,ALUE SEULEUMAK
916,SARAH KAYEE
917,DAMAR SIPUT
918,SIMPANG PEUT
919,SIMPANG ANEUH
920,ALUE PUNTI
921,ALUE KAUL
922,SARAH TEUBE
923,ALUE TUWI
925,PEULALU
926,NICAH AWE
927,ALUE BULOH SA
928,ALUE BULOH DUA
929,TEUPIN BREUH
930,MATANG RAYEUK
931,MATANG KUMBANG
932,BLANG NIE
933,BANTAYAN
934,MATANG WENG
935,ALUE MULIENG
936,PUCOK ALUE DUA
937,GAMPONG BLANG
938,KEUDE TUHA
939,KUALA SIMPANG ULIM
940,LAMPOH RAYEUK
941,TEUPIN MAMPLAM
942,TITI BARUEH
943,PUCOK ALUE SA
944,PUCOK ALUE BARAT
945,ARAKUNDO
946,GAMPONG BARO
947,MATANG SEUPENG
949,PAYA UNOU
950,SEUNEUBOK JOHAN
951,SEUNEUBOK BARO
952,PULO BLANG
953,BLANG BAROM
954,SEUNEUBOK DALAM
955,SEULEMAK MUDA
956,BHOM LAMA
957,PASI PUTEH
958,ALUE DUA
959,BUKET PALA
960,MATA IE
961,ALUE UDEP
962,SEUMALI
963,PUNTI PAYONG
964,PAYA PALAS
965,TAMPAK
966,KLIET
967,ALUE GEUNTENG
968,PERTAMINA
969,ALUE BATEE
970,BEURANDANG
971,SEUMANAH JAYA
973,BLANG SEUNONG
974,SUKA DAMAI
975,PANTE LABU
976,PANTE RAMBONG
977,ALUE IE MIRAH
978,SEUNEUBOK TUHA
979,SEUNEUBOK SABOH
980,BUKET KAREUNG
981,BUKET BATA
982,MEUNASAH TUNONG
983,MEUNASAH TEUNGOH
984,KEUDE BARO
985,MATANG PERLAK
986,GRONG-GRONG
987,MATANG KRUET
988,MEUNASAH LEUBOK
989,PANTE PANAH
990,PAYA DEMAM SA
991,PAYA DEMAM DUA
992,PAYA DEMAM LHEE
993,MATANG PUDENG
994,PUTOH SA
995,PUTOH DUA
997,MADAT
998,MATANG KUPULA SA
999,MATANG KUPULA DUA
1000,MATANG KUPULA LHEE
1001,ULEE ATEUNG
1002,BLANG UBIT
1003,MATANG GURU
1004,PANTEE BAYAM
1005,MEUNASAH ASAN
1006,MEUNASAH TINGKEUM
1007,LUENG DUA
1008,LUENG PEUT
1009,PAYA DEMAM PEUT
1010,ABEUK GEULANTEU
1011,RAMBONG LOP
1012,TANJONG ARA
1013,MATANG JROK
1014,PAYA NADEN
1015,TANJONG MINJEI
1016,PANTE MERBO
1017,BLANG AWE
1018,BINTAH
1019,SEUNEUBOK PIDIE
1020,BLANG ANDAM
1021,MATANG NIBONG
1022,LUENG SA
1024,SEUNEUBOK BAYU
1025,ALUE IE ITAM
1026,BLANG NISAM
1027,BANDAR BARO
1028,ALUE PATONG
1029,ALUE IE MIRAH
1030,SUKA MAKMUR
1031,JAMBO BALEE
1032,JAMBO LUBOK
1033,SEUNEUBOK CINA
1034,PELITA SAGOP JAYA
1035,PERK JULOK RAYEUK SELATAN
1036,PERK JULOK RAYEUK UTARA
1038,SEUNEUBOK BULOH
1039,SEUNEUBOK BARO
